run_date,repository,path,title,total,unique
2026-07-19,datf/test-svg-animations-on-github,/datf/test-svg-animations-on-github/blob/main/SVGs/hover-mouseover-mouseout.svg,/blob/main/SVGs/hover-mouseover-mouseout.svg,1,1
2026-07-19,datf/test-svg-animations-on-github,/datf/test-svg-animations-on-github/commit/587b3c1bec035fddd2398e5735b54c4192917ebd,/commit/587b3c1bec035fddd2398e5735b54c4192917ebd,1,1
2026-07-19,datf/test-svg-animations-on-github,/datf/test-svg-animations-on-github/commit/a28537e80baffd7c450c6b2ad336196f2e6acafa,/commit/a28537e80baffd7c450c6b2ad336196f2e6acafa,1,1
2026-07-19,datf/test-svg-animations-on-github,/datf/test-svg-animations-on-github/commits/main,/commits/main,1,1
2026-07-20,datf/RocketPlugin,/datf/RocketPlugin/releases/tag/v1.0.0-fork.datf,/releases/tag/v1.0.0-fork.datf,1,1
2026-07-20,datf/test-svg-animations-on-github,/datf/test-svg-animations-on-github,Overview,10,5
2026-07-20,datf/test-svg-animations-on-github,/datf/test-svg-animations-on-github/blob/main/SVGs/hover-foreignObject.svg,/blob/main/SVGs/hover-foreignObject.svg,1,1
2026-07-20,datf/test-svg-animations-on-github,/datf/test-svg-animations-on-github/blob/main/SVGs/hover-mouseover-mouseout.svg,/blob/main/SVGs/hover-mouseover-mouseout.svg,1,1
2026-07-20,datf/test-svg-animations-on-github,/datf/test-svg-animations-on-github/commit/587b3c1bec035fddd2398e5735b54c4192917ebd,/commit/587b3c1bec035fddd2398e5735b54c4192917ebd,1,1
2026-07-20,datf/test-svg-animations-on-github,/datf/test-svg-animations-on-github/commit/a28537e80baffd7c450c6b2ad336196f2e6acafa,/commit/a28537e80baffd7c450c6b2ad336196f2e6acafa,1,1
2026-07-20,datf/test-svg-animations-on-github,/datf/test-svg-animations-on-github/commits/main,/commits/main,1,1
2026-07-21,datf/test-svg-animations-on-github,/datf/test-svg-animations-on-github,Overview,10,5
2026-07-21,datf/test-svg-animations-on-github,/datf/test-svg-animations-on-github/blob/main/SVGs/hover-foreignObject.svg,/blob/main/SVGs/hover-foreignObject.svg,1,1
